4860,0,0,0
4870,0,1,0
4880,0,3,0
859660,0,0,1
866640,4,4,0
952180,4,5,0
959520,5,120,0
1863300,5,121,0
1870220,5,136,1
1952180,4,0,49
1959480,4,1,0
2866960,5,137,49
2873880,5,114,0
2952220,0,0,5
2959500,0,1,1
3870600,4,4,0
3877520,4,5,0
3952200,5,122,0
3965780,5,121,0
3965780,1,0,0
3966020,5,112,2
3970020,0,2,0
3970020,5,113,0
3981760,1,0,1
3985920,0,1,4
4874280,4,2,0
4881200,4,3,0
4952180,0,2,1
4959480,4,4,0
5877940,4,5,0
5884880,5,136,1
5952180,3,1,0
5959480,5,137,0
6881600,5,138,1
6888540,3,1,1
6952180,5,139,0
6959480,5,114,0
7885260,0,2,5
7892200,0,1,1
7952180,4,4,0
7959480,4,5,0
8888920,5,114,0
8895860,0,1,5
8952180,0,3,1
8965720,1,1,0
8965960,5,50,0
8969960,2,0,0
8981700,5,51,0
8985860,5,52,0
9892600,2,0,1
9899520,5,53,0
9952180,1,1,1
